Player,Season,Height_in,Height_cm,Position,Team,Games,MPG,PPG
Malaki Branham,2022-23,76,193.04,SG,SAS,66,23.5,10.2
Malcolm Brogdon,2022-23,76,193.04,PG,BOS,67,26,14.9
Malik Beasley,2022-23,76,193.04,SG,2TM,81,25.8,12.7
Malik Monk,2022-23,75,190.5,SG,SAC,77,22.3,13.5
MarJon Beauchamp,2022-23,78,198.12,SF,MIL,52,13.5,5.1
Marcus Morris,2022-23,80,203.2,PF,LAC,65,28.1,11.2
Marcus Smart,2022-23,75,190.5,PG,BOS,61,32.1,11.5
Mark Williams,2022-23,84,213.36,C,CHO,43,19.3,9
Markelle Fultz,2022-23,76,193.04,PG,ORL,60,29.6,14
Marvin Bagley III,2022-23,82,208.28,C,DET,42,23.6,12
Mason Plumlee,2022-23,82,208.28,C,2TM,79,26,10.8
Max Strus,2022-23,77,195.58,SF,MIA,80,28.4,11.5
Maxi Kleber,2022-23,82,208.28,PF,DAL,37,25.1,5.9
Michael Porter Jr.,2022-23,82,208.28,SF,DEN,62,29,17.4
Mikal Bridges,2022-23,78,198.12,SG,2TM,83,35.7,20.1
Mike Conley,2022-23,72,182.88,PG,2TM,67,30.3,11.9
Mike Muscala,2022-23,82,208.28,C,2TM,63,15,6.1
Mitchell Robinson,2022-23,84,213.36,C,NYK,59,27,7.4
Mo Bamba,2022-23,84,213.36,C,2TM,49,15.7,6.6
Monte Morris,2022-23,74,187.96,PG,WAS,62,27.3,10.3
Montrezl Harrell,2022-23,79,200.66,C,PHI,57,11.9,5.6
Moritz Wagner,2022-23,83,210.82,C,ORL,57,19.5,10.5
Moses Moody,2022-23,77,195.58,SG,GSW,63,13,4.8
Myles Turner,2022-23,83,210.82,C,IND,62,29.4,18
Naji Marshall,2022-23,79,200.66,SF,NOP,77,23.3,9.1
Nassir Little,2022-23,77,195.58,SF,POR,54,18.1,6.6
Naz Reid,2022-23,81,205.74,C,MIN,68,18.4,11.5
Nic Claxton,2022-23,83,210.82,C,BRK,76,29.9,12.6
Nick Richards,2022-23,84,213.36,C,CHO,65,18.7,8.2
Nickeil Alexander-Walker,2022-23,77,195.58,SG,2TM,59,15,6.2
Nicolas Batum,2022-23,80,203.2,PF,LAC,78,21.9,6.1
Nikola JokiÄ,2022-23,,,C,DEN,69,33.7,24.5
Nikola VuÄeviÄ,2022-23,,,C,CHI,82,33.5,17.6
Norman Powell,2022-23,75,190.5,SG,LAC,60,26.1,17
OG Anunoby,2022-23,79,200.66,SF,TOR,67,35.6,16.8
Obi Toppin,2022-23,81,205.74,PF,NYK,67,15.7,7.4
Ochai Agbaji,2022-23,77,195.58,SG,UTA,59,20.5,7.9
Onyeka Okongwu,2022-23,80,203.2,C,ATL,80,23.1,9.9
Oshae Brissett,2022-23,79,200.66,PF,IND,65,16.7,6.1
Ousmane Dieng,2022-23,82,208.28,PF,OKC,39,14.6,4.9
P.J. Washington,2022-23,79,200.66,PF,CHO,73,32.6,15.7
Paolo Banchero,2022-23,82,208.28,PF,ORL,72,33.8,20
Pascal Siakam,2022-23,80,203.2,PF,TOR,71,37.4,24.2
Pat Connaughton,2022-23,77,195.58,SF,MIL,61,23.7,7.6
Patrick Beverley,2022-23,74,187.96,SG,2TM,67,27.1,6.2
Patrick Williams,2022-23,79,200.66,PF,CHI,82,28.3,10.2
Patty Mills,2022-23,74,187.96,PG,BRK,40,14.2,6.2
Paul George,2022-23,80,203.2,SF,LAC,56,34.6,23.8
Payton Pritchard,2022-23,73,185.42,PG,BOS,48,13.4,5.6
Precious Achiuwa,2022-23,80,203.2,C,TOR,55,20.7,9.2
Quentin Grimes,2022-23,77,195.58,SG,NYK,71,29.9,11.3
R.J. Hampton,2022-23,76,193.04,SG,2TM,47,16,6.4
RJ Barrett,2022-23,78,198.12,SG,NYK,73,33.9,19.6
Reggie Bullock,2022-23,78,198.12,SF,DAL,78,30.3,7.2
Reggie Jackson,2022-23,74,187.96,PG,2TM,68,24.4,10.2
Ricky Rubio,2022-23,74,187.96,PG,CLE,33,17.2,5.2
Robert Covington,2022-23,79,200.66,PF,LAC,48,16.2,6
Robert Williams,2022-23,81,205.74,C,BOS,35,23.5,8
Rodney McGruder,2022-23,76,193.04,SG,DET,32,16.4,5.7
Romeo Langford,2022-23,77,195.58,SG,SAS,43,19.6,6.9
Royce O'Neale,2022-23,76,193.04,SF,BRK,76,31.7,8.8
Rudy Gay,2022-23,80,203.2,PF,UTA,56,14.6,5.2
Rudy Gobert,2022-23,85,215.9,C,MIN,70,30.7,13.4
Rui Hachimura,2022-23,80,203.2,PF,2TM,63,23.3,11.2
Russell Westbrook,2022-23,76,193.04,PG,2TM,73,29.1,15.9
Saben Lee,2022-23,74,187.96,PG,2TM,25,14.9,6
Saddiq Bey,2022-23,79,200.66,SF,2TM,77,27.6,13.8
Sam Hauser,2022-23,80,203.2,SF,BOS,80,16.1,6.4
Sandro Mamukelashvili,2022-23,83,210.82,C,2TM,43,15.3,6.1
Santi Aldama,2022-23,83,210.82,PF,MEM,77,21.8,9
Scottie Barnes,2022-23,79,200.66,SF,TOR,77,34.8,15.3
Seth Curry,2022-23,73,185.42,SG,BRK,61,19.9,9.2
Shaedon Sharpe,2022-23,78,198.12,SG,POR,80,22.2,9.9
Shai Gilgeous-Alexander,2022-23,78,198.12,PG,OKC,68,35.5,31.4
Shake Milton,2022-23,77,195.58,SG,PHI,76,20.6,8.4
Simone Fontecchio,2022-23,80,203.2,SF,UTA,52,14.7,6.3
Spencer Dinwiddie,2022-23,77,195.58,SG,2TM,79,34.5,17.3
Stanley Johnson,2022-23,78,198.12,SF,SAS,30,15.6,5.8
Stephen Curry,2022-23,74,187.96,PG,GSW,56,34.7,29.4
Steven Adams,2022-23,83,210.82,C,MEM,42,27,8.6
Svi Mykhailiuk,2022-23,79,200.66,SF,2TM,32,14.6,6.9
T.J. McConnell,2022-23,73,185.42,PG,IND,75,20.3,8.7
T.J. Warren,2022-23,80,203.2,PF,2TM,42,16.4,7.5
Talen Horton-Tucker,2022-23,76,193.04,SG,UTA,65,20.2,10.7
Tari Eason,2022-23,80,203.2,PF,HOU,82,21.5,9.3
Taurean Prince,2022-23,78,198.12,PF,MIN,54,22.1,9.1
Terance Mann,2022-23,77,195.58,SG,LAC,81,23.1,8.8
Terence Davis,2022-23,76,193.04,SG,SAC,64,13.1,6.7
Terrence Ross,2022-23,78,198.12,SG,2TM,63,21.1,8.3
Terry Rozier,2022-23,73,185.42,SG,CHO,63,35.3,21.1
Thaddeus Young,2022-23,80,203.2,PF,TOR,54,14.7,4.4
Thomas Bryant,2022-23,82,208.28,C,2TM,59,18.3,9.8
ThÃ©o Maledon,2022-23,,,PG,CHO,44,19.4,6.7
Tim Hardaway Jr.,2022-23,77,195.58,SF,DAL,71,30.3,14.4
Tobias Harris,2022-23,80,203.2,SF,PHI,74,32.9,14.7
Torrey Craig,2022-23,79,200.66,PF,PHO,79,24.7,7.4
Trae Young,2022-23,73,185.42,PG,ATL,73,34.8,26.2
Tre Jones,2022-23,73,185.42,PG,SAS,68,29.2,12.9
Tre Mann,2022-23,75,190.5,PG,OKC,67,17.7,7.7
Trendon Watford,2022-23,81,205.74,PF,POR,62,19.1,7.4
Trey Lyles,2022-23,81,205.74,PF,SAC,74,16.9,7.6
Trey Murphy III,2022-23,80,203.2,SF,NOP,79,31,14.5
Troy Brown Jr.,2022-23,78,198.12,SF,LAL,76,24.5,7.1
Ty Jerome,2022-23,77,195.58,SG,GSW,45,18.1,6.9
TyTy Washington Jr.,2022-23,75,190.5,PG,HOU,31,14,4.7
Tyler Herro,2022-23,77,195.58,SG,MIA,67,34.9,20.1
Tyrese Haliburton,2022-23,77,195.58,PG,IND,56,33.6,20.7
Tyrese Maxey,2022-23,74,187.96,SG,PHI,60,33.6,20.3
Tyus Jones,2022-23,73,185.42,PG,MEM,80,24.3,10.3
Victor Oladipo,2022-23,75,190.5,SG,MIA,42,26.3,10.7
Vlatko ÄanÄar,2022-23,,,PF,DEN,60,14.8,5
Walker Kessler,2022-23,84,213.36,C,UTA,74,23,9.2
Wendell Carter Jr.,2022-23,82,208.28,C,ORL,57,29.6,15.2
Wenyen Gabriel,2022-23,81,205.74,C,LAL,68,15.1,5.5
Will Barton,2022-23,77,195.58,SG,2TM,56,17.7,6.8
Willy HernangÃ³mez,2022-23,,,C,NOP,38,12.1,6.9
Xavier Tillman Sr.,2022-23,80,203.2,C,MEM,61,19.3,7
Yuta Watanabe,2022-23,81,205.74,SF,BRK,58,16,5.6
Zach Collins,2022-23,83,210.82,C,SAS,63,22.9,11.6
Zach LaVine,2022-23,77,195.58,SG,CHI,77,35.9,24.8
Zeke Nnaji,2022-23,81,205.74,PF,DEN,53,13.7,5.2
Ziaire Williams,2022-23,81,205.74,SF,MEM,37,15.2,5.7
Zion Williamson,2022-23,78,198.12,PF,NOP,29,33,26
Aaron Gordon,2023-24,80,203.2,PF,DEN,75,31.7,15
Aaron Holiday,2023-24,72,182.88,PG,2TM,63,16.2,6.3
Aaron Wiggins,2023-24,78,198.12,SG,OKC,50,24.2,8.3
Al Horford,2023-24,81,205.74,C,BOS,69,29.1,10.2
Alec Burks,2023-24,78,198.12,SG,NYK,81,28.6,11.7
Aleksej Pokusevski,2023-24,84,213.36,PF,OKC,61,20.2,7.6
Alex Caruso,2023-24,77,195.58,SG,CHI,41,28,7.4
Alex Len,2023-24,84,213.36,C,SAC,39,15.9,6
Alperen ÅengÃ¼n,2023-24,,,C,HOU,72,20.7,9.6
Amir Coffey,2023-24,79,200.66,SG,LAC,69,22.7,9
Andre Drummond,2023-24,83,210.82,C,2TM,73,19.7,7.9
Andrew Wiggins,2023-24,79,200.66,SF,GSW,73,31.9,17.2
Anfernee Simons,2023-24,75,190.5,SG,POR,57,29.5,17.3
Anthony Davis,2023-24,82,208.28,C,LAL,40,35.1,23.2
Anthony Edwards,2023-24,76,193.04,SG,MIN,72,34.3,21.3
Armoni Brooks,2023-24,75,190.5,SG,2TM,54,15.6,5.3
Austin Reaves,2023-24,77,195.58,SG,LAL,61,23.2,7.3
Austin Rivers,2023-24,76,193.04,SG,DEN,67,22.1,6
Avery Bradley,2023-24,75,190.5,SG,LAL,62,22.7,6.4
Ayo Dosunmu,2023-24,77,195.58,SG,CHI,77,27.4,8.8
Bam Adebayo,2023-24,81,205.74,C,MIA,56,32.6,19.1
Ben McLemore,2023-24,75,190.5,SG,POR,64,20.1,10.2
Bismack Biyombo,2023-24,80,203.2,C,PHO,36,14.1,5.8
Blake Griffin,2023-24,81,205.74,C,BRK,56,17.1,6.4
Bobby Portis,2023-24,82,208.28,C,MIL,72,28.2,14.6
Bogdan BogdanoviÄ,2023-24,,,SG,ATL,63,29.3,15.1
Bojan BogdanoviÄ,2023-24,,,PF,UTA,69,30.9,18.1
Bones Hyland,2023-24,74,187.96,SG,DEN,69,19,10.1
Bradley Beal,2023-24,76,193.04,SG,WAS,40,36,23.2
Brandon Boston Jr.,2023-24,79,200.66,SG,LAC,51,14.9,6.7
Brandon Clarke,2023-24,80,203.2,PF,MEM,64,19.5,10.4
Brandon Ingram,2023-24,80,203.2,SF,NOP,55,34,22.7
Brandon Williams,2023-24,78,198.12,PG,POR,24,26.7,12.9
Brandon Williams,2023-24,73,185.42,PG,POR,24,26.7,12.9
Bruce Brown,2023-24,76,193.04,SF,BRK,72,24.6,9
Bryn Forbes,2023-24,74,187.96,SG,2TM,75,17.1,8.8
Buddy Hield,2023-24,76,193.04,SG,2TM,81,30.9,15.6
CJ Elleby,2023-24,78,198.12,SF,POR,58,20.2,5.8
CJ McCollum,2023-24,75,190.5,PG,2TM,62,34.6,22.1
Cade Cunningham,2023-24,78,198.12,SG,DET,64,32.6,17.4
Caleb Martin,2023-24,77,195.58,SF,MIA,60,22.9,9.2
Cam Reddish,2023-24,80,203.2,SF,2TM,49,20.7,10.1
Cam Thomas,2023-24,76,193.04,SG,BRK,67,17.6,8.5
Cameron Johnson,2023-24,80,203.2,PF,PHO,66,26.2,12.5
Cameron Payne,2023-24,75,190.5,PG,PHO,58,22,10.8
Caris LeVert,2023-24,78,198.12,SG,2TM,58,30.7,17
Carmelo Anthony,2023-24,79,200.66,PF,LAL,69,26,13.3
Cedi Osman,2023-24,79,200.66,SF,CLE,66,22.2,10.7
Chimezie Metu,2023-24,81,205.74,C,SAC,60,21.3,8.9
Chris Boucher,2023-24,81,205.74,SF,TOR,80,21.1,9.4
Chris Duarte,2023-24,78,198.12,SG,IND,55,28,13.1
Chris Paul,2023-24,72,182.88,PG,PHO,65,32.9,14.7
Christian Wood,2023-24,80,203.2,C,HOU,68,30.8,17.9
Chuma Okeke,2023-24,78,198.12,PF,ORL,70,25,8.6
Clint Capela,2023-24,82,208.28,C,ATL,74,27.6,11.1
Coby White,2023-24,77,195.58,PG,CHI,61,27.5,12.7
Cody Martin,2023-24,77,195.58,SF,CHO,71,26.3,7.7
Cody Zeller,2023-24,83,210.82,C,POR,27,13.1,5.2
Cole Anthony,2023-24,74,187.96,PG,ORL,65,31.7,16.3
Corey Kispert,2023-24,79,200.66,SF,WAS,77,23.4,8.2
Cory Joseph,2023-24,74,187.96,PG,DET,65,24.6,8
D'Angelo Russell,2023-24,75,190.5,PG,MIN,65,32,18.1
D.J. Augustin,2023-24,71,180.34,PG,2TM,55,16.1,5.3
Damian Jones,2023-24,83,210.82,C,SAC,56,18.2,8.1
Damian Lillard,2023-24,74,187.96,PG,POR,29,36.4,24
Damion Lee,2023-24,77,195.58,SG,GSW,63,19.9,7.4
Daniel Gafford,2023-24,82,208.28,C,WAS,72,20.1,9.4
Daniel Theis,2023-24,80,203.2,C,2TM,47,20.8,8.2
Danilo Gallinari,2023-24,82,208.28,PF,ATL,66,25.3,11.7
Danny Green,2023-24,78,198.12,SF,PHI,62,21.8,5.9
Danuel House Jr.,2023-24,78,198.12,SF,3TM,42,17.3,5.9
Darius Bazley,2023-24,80,203.2,PF,OKC,69,27.9,10.8
Darius Garland,2023-24,73,185.42,PG,CLE,68,35.7,21.7
David Nwaba,2023-24,77,195.58,SF,HOU,46,13.2,5.1
Davion Mitchell,2023-24,74,187.96,PG,SAC,75,27.7,11.5
Day'Ron Sharpe,2023-24,83,210.82,PF,BRK,32,12.2,6.2
De'Aaron Fox,2023-24,75,190.5,PG,SAC,59,35.3,23.2
De'Andre Hunter,2023-24,80,203.2,SF,ATL,53,29.8,13.4
De'Anthony Melton,2023-24,74,187.96,SG,MEM,73,22.7,10.8
DeAndre' Bembry,2023-24,77,195.58,SF,2TM,56,18.3,5.1
DeMar DeRozan,2023-24,78,198.12,PF,CHI,76,36.1,27.9
DeMarcus Cousins,2023-24,82,208.28,C,2TM,48,15,9
Dean Wade,2023-24,81,205.74,PF,CLE,51,19.2,5.3
Deandre Ayton,2023-24,84,213.36,C,PHO,58,29.5,17.2
Dejounte Murray,2023-24,77,195.58,PG,SAS,68,34.8,21.1
Deni Avdija,2023-24,81,205.74,SF,WAS,82,24.2,8.4
Dennis SchrÃ¶der,2023-24,,,PG,2TM,64,28.7,13.5
Dennis Smith Jr.,2023-24,74,187.96,PG,POR,37,17.2,5.6
Derrick Favors,2023-24,81,205.74,C,OKC,39,16.7,5.3
Derrick Jones Jr.,2023-24,77,195.58,PF,CHI,51,17.6,5.6
Derrick Rose,2023-24,75,190.5,PG,NYK,26,24.5,12
Derrick White,2023-24,76,193.04,SG,2TM,75,29.3,13.2
Desmond Bane,2023-24,77,195.58,SG,MEM,76,29.8,18.2
Devin Booker,2023-24,78,198.12,SG,PHO,68,34.5,26.8
Devin Vassell,2023-24,77,195.58,SF,SAS,71,27.3,12.3
Devonte' Graham,2023-24,73,185.42,PG,NOP,76,28.4,11.9
Dewayne Dedmon,2023-24,84,213.36,C,MIA,67,15.9,6.3
Dillon Brooks,2023-24,78,198.12,SF,MEM,32,27.7,18.4
Domantas Sabonis,2023-24,82,208.28,PF,2TM,62,34.5,18.9
Donovan Mitchell,2023-24,75,190.5,SG,UTA,67,33.8,25.9
Donte DiVincenzo,2023-24,76,193.04,SG,2TM,42,24,9
Dorian Finney-Smith,2023-24,79,200.66,PF,DAL,80,33.1,11
Doug McDermott,2023-24,78,198.12,PF,SAS,51,24,11.3
Draymond Green,2023-24,78,198.12,PF,GSW,46,28.9,7.5
Drew Eubanks,2023-24,81,205.74,C,2TM,71,17.5,7.7
Duane Washington Jr.,2023-24,75,190.5,PG,IND,48,20.2,9.9
Duncan Robinson,2023-24,79,200.66,SG,MIA,79,25.9,10.9
Dwight Howard,2023-24,82,208.28,C,LAL,60,16.2,6.2
Dwight Powell,2023-24,82,208.28,C,DAL,82,21.9,8.7
DÄvis BertÄns,2023-24,,,PF,2TM,56,14.4,5.6
Eric Bledsoe,2023-24,73,185.42,PG,LAC,54,25.2,9.9
Eric Gordon,2023-24,75,190.5,SG,HOU,57,29.3,13.4
Eric Paschall,2023-24,78,198.12,PF,UTA,58,12.7,5.8
Evan Fournier,2023-24,78,198.12,SG,NYK,80,29.5,14.1
Evan Mobley,2023-24,83,210.82,PF,CLE,69,33.8,15
Facundo Campazzo,2023-24,70,177.8,PG,DEN,65,18.2,5.1
Frank Jackson,2023-24,75,190.5,PG,DET,53,22,10.6
Franz Wagner,2023-24,82,208.28,SF,ORL,79,30.7,15.2
Fred VanVleet,2023-24,72,182.88,PG,TOR,65,37.9,20.3
Furkan Korkmaz,2023-24,79,200.66,SG,PHI,67,21.1,7.6
Gabe Vincent,2023-24,75,190.5,PG,MIA,68,23.4,8.7
Garrett Temple,2023-24,77,195.58,SG,NOP,59,18.6,5.2
Garrison Mathews,2023-24,77,195.58,SG,HOU,65,26.3,10
Gary Harris,2023-24,76,193.04,SG,ORL,61,28.4,11.1
Gary Payton II,2023-24,74,187.96,SG,GSW,71,17.6,7.1
Gary Trent Jr.,2023-24,77,195.58,SG,TOR,70,35,18.3
George Hill,2023-24,76,193.04,PG,MIL,54,23.2,6.2
Georges Niang,2023-24,79,200.66,PF,PHI,76,22.8,9.2
Giannis Antetokounmpo,2023-24,83,210.82,PF,MIL,67,32.9,29.9
Goga Bitadze,2023-24,83,210.82,C,IND,50,14.6,7
Goran DragiÄ,2023-24,,,PG,2TM,21,23.7,7.5
Gordon Hayward,2023-24,79,200.66,SF,CHO,49,31.9,15.9
Grant Williams,2023-24,78,198.12,PF,BOS,77,24.4,7.8
Grayson Allen,2023-24,76,193.04,SG,MIL,66,27.3,11.1
Hamidou Diallo,2023-24,77,195.58,SG,DET,58,21.9,11
Harrison Barnes,2023-24,80,203.2,PF,SAC,77,33.5,16.4
Hassan Whiteside,2023-24,84,213.36,C,UTA,65,17.9,8.2
Herbert Jones,2023-24,80,203.2,PF,NOP,78,29.9,9.5
Immanuel Quickley,2023-24,75,190.5,PG,NYK,78,23.1,11.3
Isaac Okoro,2023-24,77,195.58,SF,CLE,67,29.6,8.8
Isaiah Hartenstein,2023-24,84,213.36,C,LAC,68,17.9,8.3
Isaiah Jackson,2023-24,82,208.28,C,IND,36,15,8.3
Isaiah Roby,2023-24,80,203.2,PF,OKC,45,21.1,10.1
Isaiah Stewart,2023-24,80,203.2,C,DET,71,25.6,8.3
Isaiah Thomas,2023-24,69,175.26,PG,3TM,22,15.1,8.4
Ish Smith,2023-24,72,182.88,PG,2TM,65,17.3,6.3
Ivica Zubac,2023-24,84,213.36,C,LAC,76,24.4,10.3
Ja Morant,2023-24,74,187.96,PG,MEM,57,33.1,27.4
JaMychal Green,2023-24,80,203.2,PF,DEN,67,16.2,6.4
JaVale McGee,2023-24,84,213.36,C,PHO,74,15.8,9.2
Jaden McDaniels,2023-24,81,205.74,PF,MIN,70,25.8,9.2
Jae Crowder,2023-24,78,198.12,PF,PHO,67,28.1,9.4
Jae'Sean Tate,2023-24,76,193.04,PF,HOU,78,26.4,11.8
Jakob Poeltl,2023-24,84,213.36,C,SAS,68,29,13.5
Jalen Brunson,2023-24,74,187.96,SG,DAL,79,31.9,16.3
Jalen Green,2023-24,76,193.04,SG,HOU,67,31.9,17.3
Jalen McDaniels,2023-24,81,205.74,SF,CHO,55,16.3,6.2
Jalen Smith,2023-24,82,208.28,PF,2TM,51,18.1,9.2
Jalen Suggs,2023-24,77,195.58,PG,ORL,48,27.2,11.8
James Harden,2023-24,77,195.58,PG,2TM,65,37.2,22
James Johnson,2023-24,79,200.66,PF,BRK,62,19.2,5.5
Jaren Jackson Jr.,2023-24,82,208.28,PF,MEM,78,27.3,16.3
Jarred Vanderbilt,2023-24,80,203.2,PF,MIN,74,25.4,6.9
Jarrett Allen,2023-24,83,210.82,C,CLE,56,32.3,16.1
Javonte Green,2023-24,76,193.04,SF,CHI,65,23.4,7.2
Jaxson Hayes,2023-24,84,213.36,C,NOP,70,20,9.3
Jaylen Brown,2023-24,78,198.12,SF,BOS,66,33.6,23.6
Jaylen Nowell,2023-24,76,193.04,SG,MIN,62,15.7,8.5
Jayson Tatum,2023-24,80,203.2,SF,BOS,76,35.9,26.9
Jeff Green,2023-24,80,203.2,PF,DEN,75,24.7,10.3
Jerami Grant,2023-24,79,200.66,PF,DET,47,31.9,19.2
Jeremiah Robinson-Earl,2023-24,81,205.74,C,OKC,49,22.2,7.5
Jeremy Lamb,2023-24,77,195.58,SF,2TM,56,16.7,7.3
Jimmy Butler,2023-24,79,200.66,SF,MIA,57,33.9,21.4
Joe Ingles,2023-24,80,203.2,SF,UTA,45,24.9,7.2
Joel Embiid,2023-24,84,213.36,C,PHI,68,33.8,30.6
John Collins,2023-24,81,205.74,PF,ATL,54,30.8,16.2
Jonas ValanÄiÅ«nas,2023-24,,,C,NOP,74,30.3,17.8
Jonathan Kuminga,2023-24,80,203.2,SF,GSW,70,16.9,9.3
Jordan Clarkson,2023-24,75,190.5,SG,UTA,79,27.1,16
Jordan Nwora,2023-24,80,203.2,SF,MIL,62,19.1,7.9
Jordan Poole,2023-24,76,193.04,SG,GSW,76,30,18.5
Jose Alvarado,2023-24,72,182.88,PG,NOP,54,15.4,6.1
Josh Christopher,2023-24,77,195.58,SG,HOU,74,18,7.9
Josh Giddey,2023-24,80,203.2,SF,OKC,54,31.5,12.5
Josh Hart,2023-24,76,193.04,SG,2TM,54,33.2,14.9
Josh Jackson,2023-24,80,203.2,SF,2TM,51,16.3,6.4
Josh Richardson,2023-24,77,195.58,SG,2TM,65,24.6,10.2
Joshua Primo,2023-24,78,198.12,SF,SAS,50,19.3,5.8
Jrue Holiday,2023-24,76,193.04,PG,MIL,67,33,18.3
Julius Randle,2023-24,81,205.74,PF,NYK,72,35.3,20.1
Justin Holiday,2023-24,78,198.12,SF,2TM,74,27.8,10.1
Justise Winslow,2023-24,78,198.12,PF,2TM,48,16.1,5.7
Jusuf NurkiÄ,2023-24,,,C,POR,56,28.2,15
KJ Martin,2023-24,78,198.12,SF,HOU,79,21,8.8
Karl-Anthony Towns,2023-24,84,213.36,C,MIN,74,33.5,24.6
Keifer Sykes,2023-24,72,182.88,PG,IND,32,17.7,5.6
Keita Bates-Diop,2023-24,80,203.2,SF,SAS,59,16.2,5.7
Kelan Martin,2023-24,77,195.58,SF,2TM,30,15,5.7
Keldon Johnson,2023-24,77,195.58,SF,SAS,75,31.9,17
Kelly Olynyk,2023-24,83,210.82,C,DET,40,19.1,9.1
Kelly Oubre Jr.,2023-24,80,203.2,SF,CHO,76,26.3,15
Kemba Walker,2023-24,72,182.88,PG,NYK,37,25.6,11.6
Kenrich Williams,2023-24,79,200.66,SF,OKC,49,21.9,7.4
Kentavious Caldwell-Pope,2023-24,77,195.58,SG,WAS,77,30.2,13.2
Keon Johnson,2023-24,77,195.58,SG,2TM,37,18.8,7.2
Kessler Edwards,2023-24,80,203.2,SF,BRK,48,20.6,5.9
Kevin Durant,2023-24,83,210.82,PF,BRK,55,37.2,29.9
Kevin Huerter,2023-24,79,200.66,SF,ATL,74,29.6,12.1
Kevin Love,2023-24,80,203.2,C,CLE,74,22.5,13.6
Kevin Porter Jr.,2023-24,76,193.04,PG,HOU,61,31.3,15.6
Kevon Looney,2023-24,81,205.74,C,GSW,82,21.1,6
Khris Middleton,2023-24,79,200.66,SF,MIL,66,32.4,20.1
Killian Hayes,2023-24,77,195.58,PG,DET,66,25,6.9
Kira Lewis Jr.,2023-24,73,185.42,PG,NOP,24,14.2,5.9
Klay Thompson,2023-24,77,195.58,SG,GSW,32,29.4,20.4
Kristaps PorziÅÄ£is,2023-24,,,PF,2TM,51,29,20.2
Kyle Anderson,2023-24,81,205.74,PF,MEM,69,21.5,7.6
Kyle Kuzma,2023-24,81,205.74,PF,WAS,66,33.4,17.1
Kyle Lowry,2023-24,72,182.88,PG,MIA,63,33.9,13.4
Kyrie Irving,2023-24,74,187.96,PG,BRK,29,37.6,27.4
LaMarcus Aldridge,2023-24,83,210.82,C,BRK,47,22.3,12.9
LaMelo Ball,2023-24,79,200.66,PG,CHO,75,32.3,20.1
Lamar Stevens,2023-24,78,198.12,PF,CLE,63,16.1,6.1
Lance Stephenson,2023-24,78,198.12,SG,2TM,46,17.7,8.3
Landry Shamet,2023-24,76,193.04,SG,PHO,69,20.8,8.3
Larry Nance Jr.,2023-24,80,203.2,PF,2TM,46,22.6,7
Lauri Markkanen,2023-24,84,213.36,SF,CLE,61,30.8,14.8
LeBron James,2023-24,81,205.74,C,LAL,56,37.2,30.3
Lindy Waters III,2023-24,78,198.12,SG,OKC,25,18.6,8
Lonnie Walker IV,2023-24,76,193.04,SG,SAS,70,23,12.1
Lonzo Ball,2023-24,78,198.12,PG,CHI,35,34.6,13
Lou Williams,2023-24,74,187.96,PG,ATL,56,14.3,6.3
Luguentz Dort,2023-24,76,193.04,SG,OKC,51,32.6,17.2
Luka DonÄiÄ,2023-24,,,PG,DAL,65,35.4,28.4
Luka Garza,2023-24,82,208.28,C,DET,32,12.2,5.8
Luke Kennard,2023-24,77,195.58,SG,LAC,70,27.4,11.9
Malcolm Brogdon,2023-24,76,193.04,PG,IND,36,33.5,19.1
Malik Beasley,2023-24,76,193.04,SG,MIN,79,25,12.1
Malik Monk,2023-24,75,190.5,SG,LAL,76,28.1,13.8
Marcus Morris,2023-24,80,203.2,PF,LAC,54,29,15.4
Marcus Smart,2023-24,75,190.5,PG,BOS,71,32.3,12.1
Marvin Bagley III,2023-24,82,208.28,PF,2TM,48,24,11.3
Mason Plumlee,2023-24,82,208.28,C,CHO,73,24.6,6.5
Matisse Thybulle,2023-24,77,195.58,SG,PHI,66,25.5,5.7
Max Strus,2023-24,77,195.58,SF,MIA,68,23.3,10.6
Maxi Kleber,2023-24,82,208.28,PF,DAL,59,24.6,7
Mikal Bridges,2023-24,78,198.12,SF,PHO,82,34.8,14.2
Mike Conley,2023-24,72,182.88,PG,UTA,72,28.6,13.7
Mike Muscala,2023-24,82,208.28,C,OKC,43,13.8,8
Miles Bridges,2023-24,79,200.66,PF,CHO,80,35.5,20.2
Mitchell Robinson,2023-24,84,213.36,C,NYK,72,25.7,8.5
Mo Bamba,2023-24,84,213.36,C,ORL,71,25.7,10.6
Monte Morris,2023-24,74,187.96,PG,DEN,75,29.9,12.6
Montrezl Harrell,2023-24,79,200.66,C,2TM,71,23.1,13.1
Moritz Wagner,2023-24,83,210.82,C,ORL,63,15.2,9
Myles Turner,2023-24,83,210.82,C,IND,42,29.4,12.9
Naji Marshall,2023-24,79,200.66,SF,NOP,55,13.4,5.7
Nassir Little,2023-24,77,195.58,SF,POR,42,25.9,9.8
Naz Reid,2023-24,81,205.74,C,MIN,77,15.8,8.3
Nemanja Bjelica,2023-24,82,208.28,C,GSW,71,16.1,6.1
Nic Claxton,2023-24,83,210.82,C,BRK,47,20.7,8.7
Nickeil Alexander-Walker,2023-24,77,195.58,SG,2TM,65,22.6,10.6
Nicolas Batum,2023-24,80,203.2,PF,LAC,59,24.8,8.3
